timestamp	player	primary	rtt	rtt_max	gap	jitter	cmd_resp	cmd_upload	server_queue	commands	burst	frame_gap	frame_work	renderer	server_tick	server_lag	slow_count	payload_p95	over_budget	pred_mode	pred_ticks
2026-06-30T00:25:06.237809Z	7	command_upload_delay	286	533	632	32	450	436	46	8	2	17	11	10	6	1	17	6144	10000	resyncing	2
2026-06-30T00:25:15.606192Z	9	command_upload_delay	42	301	417	41	333	324	108	12	2	17	9	8	6	0	17	6144	10000	disabled	0
2026-06-30T00:25:15.964120Z	7	command_upload_delay	51	51	481	216	429	416	179	9	2	17	12	12	6	0	17	6144	10000	resyncing	2
2026-06-30T00:25:25.488987Z	9	command_upload_delay	16	391	525	76	524	516	33	11	2	17	9	8	7	1	17	8192	10000	disabled	0
2026-06-30T00:25:26.009898Z	7	command_upload_delay	115	469	484	14	616	616	34	9	6	17	14	12	8	0	17	6144	10000	resyncing	3
2026-06-30T00:25:35.340180Z	9	command_server_queue	17	191	363	33	174	174	74	11	2	18	9	8	6	1	17	8192	10000	disabled	0
2026-06-30T00:25:35.985535Z	7	command_upload_delay	36	318	528	50	505	505	32	14	6	17	9	7	5	0	17	6144	10000	resyncing	3
2026-06-30T00:25:45.342849Z	9	command_upload_delay	25	60	418	9	303	292	92	14	2	18	9	8	6	0	17	8192	10000	disabled	0
2026-06-30T00:25:45.995731Z	7	command_upload_delay	216	315	499	32	549	535	217	25	2	17	9	7	8	0	17	6144	10000	resyncing	3
2026-06-30T00:25:55.355944Z	9	command_upload_delay	42	217	351	9	465	374	91	41	6	17	10	8	9	0	17	8192	10000	disabled	0
2026-06-30T00:25:56.004621Z	7	command_upload_delay	33	34	428	8	466	436	38	6	1	17	8	6	6	0	17	6144	10000	resyncing	1
2026-06-30T00:26:05.342243Z	9	command_upload_delay	68	392	417	24	303	303	25	5	2	17	9	8	6	0	17	8192	10000	disabled	0
2026-06-30T00:26:05.998459Z	7	command_upload_delay	31	333	399	2	480	470	278	30	2	17	11	10	6	0	17	6144	10000	resyncing	3
2026-06-30T00:26:15.463208Z	9	command_upload_delay	162	296	593	33	352	352	32	5	2	17	9	8	5	0	17	8192	10000	disabled	0
2026-06-30T00:26:16.001962Z	7	command_upload_delay	31	357	467	3	431	420	170	18	4	17	11	10	5	0	17	6144	10000	resyncing	3
2026-06-30T00:26:25.551038Z	9	command_upload_delay	24	176	411	47	350	342	33	17	11	18	10	9	5	0	17	8192	10000	disabled	0
2026-06-30T00:26:26.022438Z	7	command_upload_delay	87	153	724	16	433	433	44	12	2	17	12	10	5	0	17	6144	10000	resyncing	2
2026-06-30T00:26:35.385012Z	9	command_upload_delay	16	367	418	157	450	450	83	18	2	17	9	8	6	0	17	8192	10000	disabled	0
2026-06-30T00:26:36.021595Z	7	command_upload_delay	35	272	600	144	443	267	415	16	6	17	14	8	12	0	17	6144	10000	resyncing	6
2026-06-30T00:26:45.570432Z	9	command_upload_delay	662	662	759	9	818	810	54	25	10	17	9	8	6	1	17	8192	10000	disabled	0
2026-06-30T00:26:46.227282Z	7	prediction_correction	29	215	433	4	174	151	23	3	2	17	9	8	6	0	17	6144	10000	resyncing	1
2026-06-30T00:26:55.394793Z	9	command_upload_delay	79	287	466	41	449	449	244	21	2	17	9	9	6	0	17	8192	10000	disabled	0
2026-06-30T00:26:56.032198Z	7	command_upload_delay	32	396	505	18	266	233	33	18	17	17	12	10	6	0	17	6144	10000	resyncing	17
2026-06-30T00:27:05.359210Z	9	command_upload_delay	129	168	642	33	415	415	42	24	6	18	9	8	6	1	17	8192	10000	disabled	0
2026-06-30T00:27:06.058376Z	7	command_upload_delay	31	147	417	32	464	462	32	7	2	17	8	7	7	0	17	6144	10000	resyncing	3
2026-06-30T00:27:15.359102Z	9	command_upload_delay	34	85	466	50	359	349	42	7	2	17	7	6	9	0	17	8192	10000	disabled	0
2026-06-30T00:27:16.066396Z	7	prediction_correction	216	396	491	300	164	164	35	6	2	33	11	10	6	0	17	6144	10000	resyncing	1
2026-06-30T00:27:25.345817Z	9	command_upload_delay	19	97	670	72	241	232	40	5	2	18	11	8	6	0	17	8192	10000	disabled	0
2026-06-30T00:27:26.085194Z	7	command_upload_delay	33	285	429	32	400	251	163	19	9	33	8	6	6	0	17	6144	10000	resyncing	5
2026-06-30T00:27:35.364954Z	9	command_upload_delay	35	141	545	7	182	182	44	25	7	25	9	8	6	1	17	8192	10000	disabled	0
2026-06-30T00:27:36.098977Z	7	command_upload_delay	171	352	812	14	314	303	31	7	2	33	9	7	8	0	17	6144	10000	resyncing	2
2026-06-30T00:27:45.348729Z	9	command_upload_delay	27	85	431	33	369	360	28	14	2	18	10	8	7	0	17	8192	10000	disabled	0
2026-06-30T00:27:46.094477Z	7	command_upload_delay	32	807	461	19	810	810	38	13	6	33	13	12	7	0	17	6144	10000	resyncing	3
2026-06-30T00:27:55.356094Z	9	command_server_queue	33	205	440	33	207	75	189	4	2	25	11	10	8	0	17	8192	10000	disabled	0
2026-06-30T00:27:56.114920Z	7	command_upload_delay	32	317	447	12	654	412	287	13	2	33	9	8	8	0	17	6144	10000	resyncing	2
2026-06-30T00:28:05.478395Z	9	packet_budget_pressure	25	389	416	24	48	19	29	1	1	25	9	8	7	0	17	8192	10000	disabled	0
2026-06-30T00:28:06.447581Z	7	command_upload_delay	32	281	606	121	356	313	310	14	2	33	13	12	6	0	17	6144	10000	resyncing	2
2026-06-30T00:28:15.358001Z	9	command_server_queue	93	224	534	6	559	111	534	6	2	18	11	10	7	0	17	8192	10000	disabled	0
2026-06-30T00:28:16.220275Z	7	command_upload_delay	61	61	684	14	654	654	31	6	2	33	11	10	7	1	17	8192	10000	predicting	3
2026-06-30T00:28:25.367238Z	9	command_upload_delay	27	366	450	53	403	393	265	16	2	25	11	10	7	0	17	8192	10000	disabled	0
2026-06-30T00:28:26.295059Z	7	command_upload_delay	220	220	449	60	481	480	169	12	2	33	9	8	9	0	17	8192	10000	resyncing	1
2026-06-30T00:28:35.353929Z	9	packet_budget_pressure	18	145	543	9	128	119	26	8	2	25	12	11	7	0	17	8192	10000	disabled	0
2026-06-30T00:28:36.169962Z	7	command_upload_delay	33	193	646	34	352	351	20	7	2	33	13	12	7	0	17	6144	10000	resyncing	1
2026-06-30T00:28:45.398383Z	9	command_upload_delay	24	94	624	16	545	535	25	6	2	17	12	11	6	0	18	8192	10000	disabled	0
2026-06-30T00:28:46.268766Z	7	command_upload_delay	32	165	351	32	602	602	253	20	2	33	12	10	9	0	18	6144	10000	resyncing	2
2026-06-30T00:28:55.365984Z	9	command_upload_delay	45	554	646	10	294	286	25	4	2	17	11	10	7	0	18	8192	10000	disabled	0
2026-06-30T00:28:56.196204Z	7	command_upload_delay	99	304	600	35	401	401	53	14	4	17	9	8	6	0	18	6144	10000	resyncing	5
2026-06-30T00:29:05.355643Z	9	command_upload_delay	29	139	436	57	246	246	87	5	2	25	15	14	6	0	18	8192	10000	disabled	0
2026-06-30T00:29:06.196676Z	7	command_upload_delay	34	253	450	3	315	315	33	7	2	17	8	7	6	0	18	6144	10000	resyncing	1
2026-06-30T00:29:15.357220Z	9	command_upload_delay	478	478	491	56	267	266	37	10	2	17	16	15	6	0	18	8192	10000	disabled	0
2026-06-30T00:29:16.253883Z	7	prediction_correction	31	264	638	181	82	66	34	5	2	33	9	7	8	1	18	6144	10000	resyncing	1
2026-06-30T00:29:25.354917Z	9	packet_budget_pressure	55	277	489	44	50	26	23	1	1	25	15	13	6	0	18	8192	10000	disabled	0
2026-06-30T00:29:26.340209Z	7	command_upload_delay	83	252	417	6	190	190	90	18	5	33	13	10	6	0	18	6144	10000	resyncing	3
2026-06-30T00:29:35.353847Z	9	command_server_queue	46	373	501	44	110	75	83	5	2	26	17	16	6	0	18	8192	10000	disabled	0
